delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,0,0,space,0.4390172000275925,None,100,1,[3.287449700059369],[3.2874694000929594],0,0,0,9,0.026102100033313036,,0.021915200049988925,0.026102100033313036,1.0111670000478625,1.0111670000478625,1.028155600070022,1.4743239000672475,space,0.4390172000275925,None,1.4757071000058204,1.578268766698117,1.8946217000484467,1.875773600069806,1.8773973999777809,1.8946217000484467,1.8946217000484467,1.8946217000484467,5.182690700050443,100,1,[3.287449700059369],[3.2874694000929594],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,1000,exp,1,1,0,space,0.39047610003035516,None,800,1,[2.998254399979487],[2.998275400022976],0,1,1,5,5.194935700041242,,5.183065799996257,5.194935700041242,6.195101500023156,6.195101500023156,6.195101500023156,6.596409599995241,space,0.39047610003035516,None,6.598035100032575,7.311826466644804,7.617117000045255,7.606110600056127,7.606660400051624,7.617117000045255,7.617117000045255,7.617117000045255,10.61604910006281,800,1,[2.998254399979487],[2.998275400022976],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,1000,exp,2,2,0,space,0.442071900004521,None,700,1,[2.2070119000272825],[2.207027200027369],0,2,2,11,10.628125700051896,,10.616557199973613,10.628125700051896,11.628201200044714,11.628201200044714,11.628201200044714,12.079508000053465,space,0.442071900004521,None,12.081102600088343,12.778854366686817,13.088827600004151,13.077748600044288,13.078718599979766,13.088827600004151,13.088827600004151,13.088827600004151,15.296297600027174,700,1,[2.2070119000272825],[2.207027200027369],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,3,3,0,space,0.3147061000345275,None,200,1,[2.2945568000432104],[2.2945678000105545],0,3,3,4,15.31211749999784,,15.296686400077306,15.31211749999784,16.3121272000717,16.3121272000717,16.3121272000717,16.62905350001529,space,0.3147061000345275,None,16.630210499977693,17.0288815666611,17.338523100013845,17.32732180005405,17.328003100003116,17.338523100013845,17.338523100013845,17.338523100013845,19.633412200026214,200,1,[2.2945568000432104],[2.2945678000105545],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,4,4,0,space,0.30988289997912943,None,100,1,[2.108236400061287],[2.1082477000309154],0,4,4,6,19.64511180005502,,19.633744599996135,19.64511180005502,20.64493290008977,20.64493290008977,20.64493290008977,20.962288000038825,space,0.30988289997912943,None,20.96308010001667,21.061845066670017,21.370463000028394,21.357968600001186,21.35857899999246,21.370463000028394,21.370463000028394,21.370463000028394,23.479124700068496,100,1,[2.108236400061287],[2.1082477000309154],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,1000,exp,5,5,0,space,0.2529773999704048,None,700,1,[2.2107996999984607],[2.2108097999589518],0,5,5,8,23.49491970008239,,23.479503000038676,23.49491970008239,24.478721200022846,24.478721200022846,24.495615900028497,24.74695340008475,space,0.2529773999704048,None,24.748430200037546,25.46166666673186,25.769698100048117,25.75784289999865,25.758470500004478,25.769698100048117,25.769698100048117,25.769698100048117,27.98092850006651,700,1,[2.2107996999984607],[2.2108097999589518],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,6,6,0,space,0.33871190005447716,None,200,1,[2.406374800018966],[2.4063916000304744],0,6,6,10,27.995117700076662,,27.98116760002449,27.995117700076662,28.995498800068162,28.995498800068162,28.995498800068162,29.34624950005673,space,0.33871190005447716,None,29.347728200023994,29.745365466751778,30.05847430007998,30.0485319000436,30.04905640007928,30.05847430007998,30.05847430007998,30.05847430007998,32.46536799997557,200,1,[2.406374800018966],[2.4063916000304744],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,400,unexp,7,7,0,space,0.3912074000108987,None,100,1,[6.223362899967469],[6.223377199959941],0,7,7,0,32.47847460000776,,32.465750099974684,32.47847460000776,33.478588000056334,33.478588000056334,33.478588000056334,33.879353899974376,space,0.3912074000108987,None,33.880375800072215,33.97854516673057,34.29094690002967,34.28045309998561,34.28111199999694,34.29094690002967,34.29094690002967,34.29094690002967,40.51483580004424,100,1,[6.223362899967469],[6.223377199959941],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,400,unexp,8,8,0,space,0.4699387999717146,None,600,1,[3.8439337000017986],[3.8439435999607667],0,8,8,2,40.528574600000866,,40.51521540002432,40.528574600000866,41.52842580003198,41.52842580003198,41.52842580003198,42.01306290004868,space,0.4699387999717146,None,42.014561900054105,42.728665866718316,43.039115000050515,43.02813290001359,43.028884700033814,43.039115000050515,43.039115000050515,43.039115000050515,46.88332670007367,600,1,[3.8439337000017986],[3.8439435999607667],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,9,9,0,space,0.40352990000974387,None,600,1,[2.081856699893251],[2.081874099909328],0,9,9,3,46.898938100086525,,46.88356650003698,46.898938100086525,47.89913080004044,47.89913080004044,47.89913080004044,48.31711990002077,space,0.40352990000974387,None,48.31815180007834,48.41696856666046,48.73391770001035,48.719499099999666,48.720009900047444,48.73391770001035,48.73391770001035,48.73391770001035,50.81627120007761,600,1,[2.081856699893251],[2.081874099909328],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,400,unexp,10,10,0,space,0.4140901999780908,None,300,1,[1.8580876999767497],[1.8580963999265805],0,10,10,1,50.82860710006207,,50.81668869999703,50.82860710006207,51.828381999977864,51.828381999977864,51.828381999977864,52.24547890003305,space,0.4140901999780908,None,52.246092900051735,52.64488886675487,52.95487590006087,52.94513770006597,52.94576769997366,52.95487590006087,52.95487590006087,52.95487590006087,54.81327889999375,300,1,[1.8580876999767497],[1.8580963999265805],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,11,11,0,space,0.2948655999498442,None,600,1,[2.1244435000699013],[2.1244605000829324],0,11,11,7,54.82816700008698,,54.813586200005375,54.82816700008698,55.82905140006915,55.82905140006915,55.82905140006915,56.12897189997602,space,0.2948655999498442,None,56.12994550005533,56.52875466674256,56.84036280005239,56.828901699976996,56.829372100066394,56.84036280005239,56.84036280005239,56.84036280005239,58.965281400014646,600,1,[2.1244435000699013],[2.1244605000829324],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,400,unexp,12,0,1,space,0.405283399973996,None,800,1,[2.6718686999520287],[2.6718802999239415],1,0,12,2,58.978442599996924,,58.96559929999057,58.978442599996924,59.97861200000625,59.97861200000625,59.97861200000625,60.39625570003409,space,0.405283399973996,None,60.39764370000921,61.11162016675031,61.423899800051004,61.40858420007862,61.40989050001372,61.423899800051004,61.423899800051004,61.423899800051004,64.09608719998505,800,1,[2.6718686999520287],[2.6718802999239415],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,13,1,1,space,0.3376068000216037,None,100,1,[1.9267908999463543],[1.926801500027068],1,1,13,6,64.11203670001123,,64.09636680001859,64.11203670001123,65.09538230008911,65.09538230008911,65.11203760001808,65.44544290006161,space,0.3376068000216037,None,65.44612960005179,65.54517956666338,65.85256140003912,65.84221939998679,65.84271410002839,65.85256140003912,65.85256140003912,65.85256140003912,67.77978700003587,100,1,[1.9267908999463543],[1.926801500027068],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
